algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
RWM,2,1.9347174167633057,1119.7268467177773,578.7547251169266,1.0034686130831538,,0.3596666666666667,18,isotropic,,,
HMC,2,2.1673803329467773,362.30020587892966,167.16041959573616,1.2202129686752723,0.0,,18,isotropic,,,
NUTS,2,2.546656847000122,7275.756543877349,2856.983481087352,1.0002420664095315,0.0,,18,isotropic,,,
RWM,10,1.3634848594665527,267.419639248154,196.12952603872606,1.0186054992647064,,0.2594166666666667,18,isotropic,,,
HMC,10,1.8494985103607178,185.6457996739039,100.37629045599847,1.1509374087940265,0.0,,18,isotropic,,,
NUTS,10,2.7448489665985107,15074.816729911192,5492.038692603295,1.0006778791806745,0.0,,18,isotropic,,,
RWM,50,1.5724387168884277,46.63641154481845,29.658651268205535,1.0895468814954057,,0.23266666666666666,18,isotropic,,,
HMC,50,2.317678689956665,213.68900991925054,92.19958350794778,1.0876752066264226,0.0,,18,isotropic,,,
NUTS,50,2.865280866622925,12967.493616912281,4525.732108139199,1.0005903161857752,0.0,,18,isotropic,,,
RWM,100,1.5292723178863525,26.81967149494881,17.537538070405265,1.1499326578220563,,0.228,18,isotropic,,,
HMC,100,2.4212825298309326,382.75347014854566,158.07881378274,1.0893970001828857,0.0,,18,isotropic,,,
NUTS,100,3.0696358680725098,10451.905976760472,3404.9334924286795,1.0005084716228403,0.0,,18,isotropic,,,
RWM,200,1.642854928970337,13.693315358309338,8.335072754653787,1.2919728927473904,,0.2275,18,isotropic,,,
HMC,200,1.9014151096343994,283.4003996932123,149.04709563799776,1.0961964647992963,0.0,,18,isotropic,,,
NUTS,200,2.675316333770752,14580.461013542477,5449.995138702681,1.0008390466155108,0.0,,18,isotropic,,,
RWM,500,1.768002986907959,8.223168971213916,4.651105813794651,1.5799725455178881,,0.18991666666666668,18,isotropic,,,
HMC,500,2.414533853530884,256.32882967226897,106.16079343738649,1.0948046797070412,0.0,,18,isotropic,,,
NUTS,500,3.0782411098480225,19409.924954044385,6305.5245711414345,1.0008403938876007,0.0,,18,isotropic,,,
RWM,2,1.163276195526123,1108.7614539583515,953.1368889199045,1.0050582269341377,,0.35941666666666666,42,isotropic,,,
HMC,2,1.9500398635864258,53.126533128661706,27.243819021706443,1.360601079289311,0.0,,42,isotropic,,,
NUTS,2,2.5118167400360107,6502.2813582218505,2588.676655657861,1.000068001237495,0.0,,42,isotropic,,,
RWM,10,1.4398651123046875,254.6824117132947,176.87935455679113,1.016961832440003,,0.26366666666666666,42,isotropic,,,
HMC,10,2.30007266998291,146.95340552299868,63.890766340043754,1.1099043094415073,0.0,,42,isotropic,,,
NUTS,10,2.929445266723633,16333.917527084428,5575.771533479683,1.0009874456320789,0.0,,42,isotropic,,,
RWM,50,1.544301986694336,52.34171632820663,33.89344621659587,1.073359474872207,,0.23625000000000002,42,isotropic,,,
HMC,50,2.6089868545532227,324.73617264421574,124.46830541805292,1.0920295311885202,0.0,,42,isotropic,,,
NUTS,50,3.192530393600464,14943.257726397354,4680.693958733055,1.0007360630162754,0.0,,42,isotropic,,,
RWM,100,1.479203462600708,26.59814533186389,17.981397423921337,1.150415234413659,,0.22816666666666666,42,isotropic,,,
HMC,100,2.129936933517456,231.84922534925656,108.85262455464925,1.098266173608925,0.0,,42,isotropic,,,
NUTS,100,2.67159366607666,11063.266380988724,4141.073742413667,1.0005912734015052,0.0,,42,isotropic,,,
RWM,200,1.6105527877807617,13.834957464006864,8.59019187012836,1.2981789592868824,,0.22025,42,isotropic,,,
HMC,200,2.1005020141601562,277.6375898510844,132.17677868406722,1.0980906426424477,0.0,,42,isotropic,,,
NUTS,200,2.9057207107543945,19922.753067459875,6856.389533145273,1.0008412570614067,0.0,,42,isotropic,,,
RWM,500,1.5733015537261963,7.934477691579337,5.043202094847854,1.5899372040319386,,0.18433333333333332,42,isotropic,,,
HMC,500,2.07734751701355,293.1769084687175,141.13041080877812,1.092973445382479,0.0,,42,isotropic,,,
NUTS,500,2.7265233993530273,20445.159744609045,7498.6188453253135,1.0008858774288079,0.0,,42,isotropic,,,
RWM,2,1.152881145477295,1155.316425070309,1002.1123422848639,1.0042165893253043,,0.35975,123,isotropic,,,
HMC,2,1.8883121013641357,597.2710304722655,316.29889467995827,1.045017449248809,0.0,,123,isotropic,,,
NUTS,2,2.559779167175293,7223.0015875885565,2821.7284054073743,1.0003272376862835,0.0,,123,isotropic,,,
RWM,10,1.2658514976501465,235.99725466407276,186.43360228444206,1.0160273329132745,,0.2599166666666667,123,isotropic,,,
HMC,10,2.1173582077026367,134.29927721203407,63.42775479532614,1.075262066309171,0.0,,123,isotropic,,,
NUTS,10,3.02036452293396,15713.456554418924,5202.503351865287,1.0006083506717924,0.0,,123,isotropic,,,
RWM,50,1.6063666343688965,55.06727155194195,34.280637043719835,1.0716955384760587,,0.22766666666666668,123,isotropic,,,
HMC,50,2.779813051223755,353.78312671381593,127.26867605649605,1.067714640856971,0.0,,123,isotropic,,,
NUTS,50,3.3162009716033936,14282.17752173206,4306.788896098351,1.0006321520243489,0.0,,123,isotropic,,,
RWM,100,1.506500005722046,25.56214475991094,16.967902199017473,1.156894634189296,,0.22916666666666669,123,isotropic,,,
HMC,100,2.0859475135803223,314.86725861747595,150.94687501366585,1.0724810285190942,0.0,,123,isotropic,,,
NUTS,100,2.8607003688812256,11509.769714228665,4023.4097354033456,1.0006081975471346,0.0,,123,isotropic,,,
