algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,tau_scale
HMC,10,2.257000684738159,4851.741035405896,2149.640923112418,1.0057075789848549,421,,18,eight_schools,centred,1.0
NUTS,10,2.872612714767456,421.8407227017909,146.84914556466404,1.0211196396286637,566,,18,eight_schools,centred,1.0
HMC,10,3.094313383102417,43.526054674459814,14.066466219016178,1.3466427729729946,1380,,42,eight_schools,centred,1.0
NUTS,10,2.8248562812805176,330.9270109793466,117.14826455855524,1.006602772099388,442,,42,eight_schools,centred,1.0
HMC,10,2.2932040691375732,8510.526740892452,3711.1946797186197,1.003258889750167,484,,123,eight_schools,centred,1.0
NUTS,10,2.9367449283599854,192.29869237384005,65.4802160435597,1.022282814642969,765,,123,eight_schools,centred,1.0
HMC,10,2.3715322017669678,914.6346540151729,385.672458224983,1.0191618090572756,381,,18,eight_schools,centred,10.0
NUTS,10,2.9907472133636475,992.3321452972366,331.80074225704146,1.0127658006057167,509,,18,eight_schools,centred,10.0
HMC,10,2.3601081371307373,3560.987766759534,1508.823985958858,1.0054172949585465,422,,42,eight_schools,centred,10.0
NUTS,10,3.02925181388855,1774.5371462325354,585.8004732708639,1.0046088025691624,236,,42,eight_schools,centred,10.0
HMC,10,2.282780170440674,2315.20585415391,1014.204470554419,1.1007761448076636,747,,123,eight_schools,centred,10.0
NUTS,10,2.980743646621704,1828.6303642354317,613.4812587147347,1.003352127816611,246,,123,eight_schools,centred,10.0
HMC,10,2.652387857437134,3785.033885476079,1427.0288091023622,1.0039626007058686,190,,18,eight_schools,centred,100.0
NUTS,10,2.9038310050964355,2171.8823228263227,747.9368871723287,1.0017810027011045,173,,18,eight_schools,centred,100.0
HMC,10,2.2759995460510254,3664.930081171117,1610.2507961963158,1.0050942756934078,186,,42,eight_schools,centred,100.0
NUTS,10,2.931730270385742,1781.174514580182,607.5506101541272,1.0036873302912093,139,,42,eight_schools,centred,100.0
HMC,10,2.31453800201416,3125.4907825132573,1350.3734999353603,1.005029399540367,365,,123,eight_schools,centred,100.0
NUTS,10,2.899261474609375,2135.4032641530766,736.5335216758209,1.0040557146568918,250,,123,eight_schools,centred,100.0
HMC,10,2.272350311279297,245.88678441197098,108.20813287082512,1.0453859347491226,0,,18,eight_schools,noncentred,1.0
NUTS,10,3.745471239089966,8669.386996479692,2314.6318428508575,1.0007698811503718,0,,18,eight_schools,noncentred,1.0
HMC,10,2.302579402923584,150.26188740756643,65.25806980501041,1.0897898377282988,0,,42,eight_schools,noncentred,1.0
NUTS,10,2.9352686405181885,9277.756449882701,3160.786144686511,1.0005218011529418,3,,42,eight_schools,noncentred,1.0
HMC,10,2.3060359954833984,147.5018386632367,63.963372190257985,1.0578002659408985,1,,123,eight_schools,noncentred,1.0
NUTS,10,2.905705451965332,9214.50446526825,3171.176369248244,1.0003161032640224,1,,123,eight_schools,noncentred,1.0
HMC,10,2.3007566928863525,1358.0090772590988,590.2445406147857,1.0016788857441168,0,,18,eight_schools,noncentred,10.0
NUTS,10,2.984647035598755,8058.739994143054,2700.0646636014626,1.0000832676743512,0,,18,eight_schools,noncentred,10.0
HMC,10,2.2913784980773926,1251.2291197974143,546.0595536037684,1.0037326760301677,0,,42,eight_schools,noncentred,10.0
NUTS,10,2.951022148132324,7660.855128735473,2596.000553091057,1.000760351387454,0,,42,eight_schools,noncentred,10.0
HMC,10,2.287492513656616,1404.235788472261,613.8755777729535,1.0019336566038262,0,,123,eight_schools,noncentred,10.0
NUTS,10,2.892695188522339,7067.088109591893,2443.080811843829,1.0005409949750672,1,,123,eight_schools,noncentred,10.0
HMC,10,2.28475022315979,2334.746366439918,1021.8825422461207,1.0020515758744808,0,,18,eight_schools,noncentred,100.0
NUTS,10,2.869077444076538,7272.159653101696,2534.6683018667577,1.0004327913914426,0,,18,eight_schools,noncentred,100.0
HMC,10,2.3072283267974854,2189.443855890834,948.9497985359168,1.0026155746674887,0,,42,eight_schools,noncentred,100.0
NUTS,10,2.899796485900879,6518.882344712332,2248.048225593705,1.000404657054421,2,,42,eight_schools,noncentred,100.0
HMC,10,2.290761947631836,1998.9251753538417,872.602750111293,1.0017766277182638,0,,123,eight_schools,noncentred,100.0
NUTS,10,2.8901212215423584,6795.864594198868,2351.4116098466448,1.0007379088621924,0,,123,eight_schools,noncentred,100.0
