algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation
RWM,2,1.2219352722167969,97.31262502891049,79.63811769863142,1.062360769334819,,0.374,18,funnel,centred
HMC,2,1.6345233917236328,4538.163943505955,2776.444782916434,1.0017451579459486,476.0,,18,funnel,centred
NUTS,2,2.511929750442505,669.6863429189312,266.6023374264182,1.0257177173055034,413.0,,18,funnel,centred
RWM,5,1.3212757110595703,39.926461688148926,30.21811523056812,1.525520202360222,,0.19349999999999998,18,funnel,centred
HMC,5,1.7123537063598633,5757.121852645123,3362.1101944432166,1.0213022478651477,226.0,,18,funnel,centred
NUTS,5,2.299663543701172,6237.086830209921,2712.1736339619924,1.0146874335241765,81.0,,18,funnel,centred
RWM,10,1.2798683643341064,47.99493143027383,37.49989668292549,1.2334608274924501,,0.2921666666666667,18,funnel,centred
HMC,10,1.7964584827423096,3843.101663135495,2139.2655049110663,1.0309468909458273,51.0,,18,funnel,centred
NUTS,10,2.389862298965454,9311.10475810709,3896.0842062481042,1.0064951414696088,10.0,,18,funnel,centred
RWM,2,0.944401741027832,73.78645169841079,78.13036390435484,1.0411400882512476,,0.39541666666666664,42,funnel,centred
HMC,2,1.5804955959320068,5002.560055101993,3165.1844320085056,1.0129243508080696,480.0,,42,funnel,centred
NUTS,2,2.4593396186828613,1561.6016895621558,634.9678904447107,1.0094939321260268,393.0,,42,funnel,centred
RWM,5,1.1121032238006592,63.92551344557702,57.481636665982236,1.1988585746578355,,0.28475,42,funnel,centred
HMC,5,1.7677404880523682,3232.6768166634765,1828.7055359721503,1.572608574178863,1384.0,,42,funnel,centred
NUTS,5,2.303257942199707,3858.900403666753,1675.4095722259153,1.025072390424877,440.0,,42,funnel,centred
RWM,10,1.103731632232666,21.969423037521302,19.904678271366386,1.835133411065197,,0.24875000000000003,42,funnel,centred
HMC,10,1.7401933670043945,4852.230270671267,2788.3282183887404,1.0093243935341327,31.0,,42,funnel,centred
NUTS,10,2.414348602294922,9033.913508264812,3741.7601996984877,1.0151947750018044,12.0,,42,funnel,centred
RWM,2,0.9822580814361572,93.33548701415637,95.02134803278052,1.0475701959689534,,0.37983333333333336,123,funnel,centred
HMC,2,1.5999724864959717,5041.058671675097,3150.715849317693,1.007828535276514,745.0,,123,funnel,centred
NUTS,2,2.1785881519317627,1031.9941177540848,473.6985817346943,1.0140021345320098,714.0,,123,funnel,centred
RWM,5,1.052427053451538,94.15371269596912,89.46340973199307,1.0589521236216057,,0.30041666666666667,123,funnel,centred
HMC,5,2.065398931503296,6471.95571671285,3133.5136365168214,1.0219332253626712,428.0,,123,funnel,centred
NUTS,5,2.440786600112915,5241.884123223475,2147.620821492947,1.0307537894734862,211.0,,123,funnel,centred
RWM,10,1.1322181224822998,61.300887710519234,54.14229510487063,1.1033239237752683,,0.28600000000000003,123,funnel,centred
HMC,10,1.8337690830230713,4144.540090762133,2260.1210420287084,1.030118643925697,37.0,,123,funnel,centred
NUTS,10,2.3484716415405273,2916.090036501294,1241.6969338358397,1.034045788438117,6.0,,123,funnel,centred
RWM,2,0.9210479259490967,1119.7268467177773,1215.7096446028597,1.0034686130831538,,0.3596666666666667,18,funnel,noncentred
HMC,2,1.6377472877502441,92.42011380340816,56.4312421670163,1.0544200200324914,0.0,,18,funnel,noncentred
NUTS,2,2.1563568115234375,5848.619541683338,2712.2689113548727,1.001082766693694,0.0,,18,funnel,noncentred
RWM,5,1.0446100234985352,504.77605098913637,483.2196127111394,1.0094893566584036,,0.28833333333333333,18,funnel,noncentred
HMC,5,1.7207880020141602,251.5874323608199,146.2047806390677,1.0298126707126904,0.0,,18,funnel,noncentred
NUTS,5,2.3540430068969727,7744.12753976162,3289.713704071062,1.000077438389967,0.0,,18,funnel,noncentred
RWM,10,1.0587947368621826,268.11906586270555,253.23044829000233,1.0154849489321616,,0.2638333333333333,18,funnel,noncentred
HMC,10,2.159898281097412,165.22085442075263,76.49473860260048,1.0639167408452923,0.0,,18,funnel,noncentred
NUTS,10,2.290548324584961,7773.631805299956,3393.7864230428363,1.000062219025861,0.0,,18,funnel,noncentred
RWM,2,0.8667716979980469,1108.7614539583515,1279.1851147415405,1.0050582269341377,,0.35941666666666666,42,funnel,noncentred
HMC,2,1.6146583557128906,51.50670636573628,31.899445590764284,1.0670934827778513,0.0,,42,funnel,noncentred
NUTS,2,2.246427059173584,6359.63986110972,2831.0021619172026,1.0004519347844638,0.0,,42,funnel,noncentred
RWM,5,1.0433323383331299,486.9791175812011,466.7535929723205,1.0070259700300876,,0.28983333333333333,42,funnel,noncentred
HMC,5,1.7359533309936523,800.5627028159645,461.16602821213274,1.0593554596606096,0.0,,42,funnel,noncentred
NUTS,5,2.2773287296295166,7359.303608935148,3231.5508574523556,1.0001828154519625,0.0,,42,funnel,noncentred
RWM,10,1.0110867023468018,262.9049399620509,260.0221517618919,1.0201068628843646,,0.26175000000000004,42,funnel,noncentred
HMC,10,1.770885705947876,144.26925373499697,81.46728682175232,1.0757080733436786,0.0,,42,funnel,noncentred
NUTS,10,2.417593240737915,8221.905490598434,3400.8638641332755,1.0003184826491758,0.0,,42,funnel,noncentred
RWM,2,0.906404972076416,1155.316425070309,1274.6139536543803,1.0042165893253043,,0.35975,123,funnel,noncentred
HMC,2,1.5936622619628906,14.911258604508493,9.356598923376973,1.185010317602346,0.0,,123,funnel,noncentred
NUTS,2,2.153538227081299,6422.971705193075,2982.5204049886593,1.0009005413185204,0.0,,123,funnel,noncentred
RWM,5,0.9919083118438721,526.9139107540262,531.2123151529386,1.0084139504174252,,0.287,123,funnel,noncentred
HMC,5,2.2331767082214355,72.02242882111287,32.251110517122285,1.0892746110359637,0.0,,123,funnel,noncentred
NUTS,5,2.384093999862671,7125.210155666598,2988.644808500431,1.000238567944422,0.0,,123,funnel,noncentred
RWM,10,1.0413765907287598,241.8456278664412,232.23647431636292,1.0158634936537712,,0.26325,123,funnel,noncentred
HMC,10,1.730794906616211,107.56185017980138,62.145924839870304,1.0973873641284855,0.0,,123,funnel,noncentred
NUTS,10,2.305117130279541,7823.988113890748,3394.1824522131483,1.0001976429091282,0.0,,123,funnel,noncentred
