algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment
RWM,2,1.5747976303100586,1119.7268467177773,711.0290396470286,1.0034686130831538,,0.3596666666666667,18,isotropic
HMC,2,1.5298283100128174,138.90579337376252,90.79828923586773,1.070951288733617,0.0,,18,isotropic
NUTS,2,2.0398130416870117,6894.840692020145,3380.133645149077,1.0001283463135022,0.0,,18,isotropic
RWM,10,1.165358543395996,267.419639248154,229.47413117070454,1.0186054992647064,,0.2594166666666667,18,isotropic
HMC,10,1.4743006229400635,156.08921358137758,105.87339593610363,1.103291203403967,0.0,,18,isotropic
NUTS,10,2.1371750831604004,15395.19272465562,7203.5243373180265,1.0006064663270524,0.0,,18,isotropic
RWM,50,1.4015884399414062,46.63641154481845,33.2739698871718,1.0895468814954057,,0.23266666666666666,18,isotropic
HMC,50,1.8955185413360596,563.5499051397901,297.3064588134131,1.0875535220990176,0.0,,18,isotropic
NUTS,50,2.359886646270752,14736.049692160073,6244.388778353803,1.0007535127898135,0.0,,18,isotropic
RWM,2,0.8493754863739014,1108.7614539583515,1305.3843344264665,1.0050582269341377,,0.35941666666666666,42,isotropic
HMC,2,1.4658122062683105,58.18667773712005,39.69586109891435,1.104508908868997,0.0,,42,isotropic
NUTS,2,2.1128194332122803,7156.141463422608,3387.0104330413983,1.0010533135053141,0.0,,42,isotropic
RWM,10,1.043351650238037,254.6824117132947,244.10026250995028,1.016961832440003,,0.26366666666666666,42,isotropic
HMC,10,1.4884934425354004,221.07494938451174,148.5226223153173,1.0974335688893044,0.0,,42,isotropic
NUTS,10,1.9954848289489746,14298.383550717004,7165.368206907385,1.000638466477589,0.0,,42,isotropic
RWM,50,1.1458079814910889,52.34171632820663,45.681054045453685,1.073359474872207,,0.23625000000000002,42,isotropic
HMC,50,1.9100370407104492,355.0235999287781,185.87262569354417,1.0875627783188624,0.0,,42,isotropic
NUTS,50,2.535261631011963,11793.98917354867,4651.9810931075535,1.0005125624613576,0.0,,42,isotropic
RWM,2,0.8683304786682129,1155.316425070309,1330.503136135744,1.0042165893253043,,0.35975,123,isotropic
HMC,2,1.422560453414917,253.8518277600429,178.44712831054792,1.0103918398841971,0.0,,123,isotropic
NUTS,2,1.990175485610962,6692.912053624397,3362.975829023312,1.000352970073606,0.0,,123,isotropic
RWM,10,1.073310136795044,235.99725466407276,219.8779705638223,1.0160273329132745,,0.2599166666666667,123,isotropic
HMC,10,1.5474190711975098,382.5658369267893,247.22833267831638,1.0986195807773522,0.0,,123,isotropic
NUTS,10,2.0039215087890625,16084.34559371712,8026.434929298519,1.000561424354496,0.0,,123,isotropic
RWM,50,1.1625330448150635,55.06727155194195,47.36834948266102,1.0716955384760587,,0.22766666666666668,123,isotropic
HMC,50,2.0087966918945312,423.8549833050625,210.99944310706599,1.081633174462732,0.0,,123,isotropic
NUTS,50,2.4105145931243896,14099.757529828941,5849.272835786293,1.0007209764312441,0.0,,123,isotropic
