algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,prior_std
RWM,30,1.9034314155578613,4.329297088315714,2.2744697039934456,8.462051088316775,,0.0006666666666666666,18,logistic_regression,0.1
HMC,30,1.905303716659546,457.1267836494735,239.92331493003454,1.0437198371913807,0.0,,18,logistic_regression,0.1
NUTS,30,2.778803586959839,10450.351176641427,3760.737615886942,1.0003749425898294,0.0,,18,logistic_regression,0.1
RWM,30,1.538001298904419,4.842697443680063,3.148695288573367,5.882077903410332,,0.0005833333333333334,42,logistic_regression,0.1
HMC,30,1.6848759651184082,306.55204080101515,181.94338761279175,1.0521442428174923,0.0,,42,logistic_regression,0.1
NUTS,30,2.2929606437683105,9448.204842505564,4120.526389401146,1.000477662567437,0.0,,42,logistic_regression,0.1
RWM,30,1.5932307243347168,5.041298201803347,3.164198458392418,3.8330943773756294,,0.00075,123,logistic_regression,0.1
HMC,30,1.7466943264007568,335.26072193358374,191.94012190125042,1.033312481323765,0.0,,123,logistic_regression,0.1
NUTS,30,2.332183599472046,9753.895682220522,4182.301806954043,1.0004230781685477,0.0,,123,logistic_regression,0.1
RWM,30,1.530930757522583,7.797535979115797,5.0933302768925355,1.5986071768211565,,0.016833333333333336,18,logistic_regression,1.0
HMC,30,1.781743049621582,2278.8165806798816,1278.9816024055046,1.006092416318865,0.0,,18,logistic_regression,1.0
NUTS,30,3.2970407009124756,11215.631969403126,3401.72687777228,1.0004790347796062,0.0,,18,logistic_regression,1.0
RWM,30,1.5270206928253174,7.868805018810164,5.153044130823911,1.6653251996265686,,0.02175,42,logistic_regression,1.0
HMC,30,1.7091639041900635,2269.8696902826277,1328.058523069659,1.0026255780275564,0.0,,42,logistic_regression,1.0
NUTS,30,2.2836525440216064,12572.72744716983,5505.534316104296,1.0005326644750208,0.0,,42,logistic_regression,1.0
RWM,30,1.4747505187988281,8.959268378539795,6.075107799139507,1.56823190121566,,0.019833333333333335,123,logistic_regression,1.0
HMC,30,1.654914379119873,1693.8720742859273,1023.5406107153248,1.0056666669358054,0.0,,123,logistic_regression,1.0
NUTS,30,2.2842700481414795,10037.52425644072,4394.193350566155,1.0005818179453152,0.0,,123,logistic_regression,1.0
RWM,30,1.4760103225708008,7.757066224266476,5.2554281671660785,1.8322880895561833,,0.06758333333333333,18,logistic_regression,10.0
HMC,30,1.700960636138916,7928.308290654304,4661.076877505592,1.0011222612698922,0.0,,18,logistic_regression,10.0
NUTS,30,2.249926805496216,6341.308961208149,2818.451225043114,1.000486235112789,0.0,,18,logistic_regression,10.0
RWM,30,1.4787850379943848,6.0636705501397365,4.1004408310511735,1.932350737572093,,0.07683333333333334,42,logistic_regression,10.0
HMC,30,1.7284741401672363,7073.475941137631,4092.3238460792045,1.0007790915638295,0.0,,42,logistic_regression,10.0
NUTS,30,2.418593406677246,6320.021889343525,2613.098122195829,1.000495220569505,0.0,,42,logistic_regression,10.0
RWM,30,1.517638921737671,6.118756864605118,4.031760636185612,1.9807658043999083,,0.07533333333333334,123,logistic_regression,10.0
HMC,30,1.7813212871551514,7570.968697654376,4250.198295078788,1.0008737679645203,0.0,,123,logistic_regression,10.0
NUTS,30,2.2789173126220703,6218.11830511822,2728.540553305023,1.0004921298827334,0.0,,123,logistic_regression,10.0
